dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,chronos_small_resid,0.10049478052508512,0.10046891806547566,0.31626011128165143,0.3465202499888513
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,knn,0.6938907127106804,0.6935093274027107,0.6904799487687083,0.6896634393512416
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,lof,0.7445305908789681,0.7521714639194224,0.8891715592505589,0.8892880425532461
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,ae,0.12276606327238294,0.12327570739879218,0.08555695703019556,0.0854320184418707
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,iforest,0.010251983202704694,0.010258761727883647,0.010825977338162866,0.010839253650577262
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,timesfm_resid,0.015486286749529558,0.01846468017638584,0.0026520837337680866,0.0028515113918427615
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,tirex_resid,0.03824544450796709,0.03886745397740047,0.008057293460318327,0.00786388947002249
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,chronos_base_resid,0.0032120689004255625,0.003417751915465282,0.0013051874343183985,0.0013804163825047453
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,chronos_small_resid,0.0040710164344404925,0.005561447349177899,0.0014361169100218759,0.001357232371287722
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,knn,0.4397858913689837,0.4399302102456796,0.13917989104043382,0.13002018988188008
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,lof,0.36000419668163297,0.3527638664153777,0.18461854283679496,0.18436908359827472
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,ae,0.425676635050193,0.4141192184471009,0.12437061730395903,0.14021722695117272
ucr,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340,iforest,0.0033270909324739466,0.003386001710594353,0.002965000356328521,0.0029764696882420656
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,timesfm_resid,0.014933231121771239,0.014655540914750046,0.031102669457834332,0.028666643891016926
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,tirex_resid,0.01725505819793449,0.017573105902490324,0.049150849667234334,0.04468843888031493
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,chronos_base_resid,0.015039404763152193,0.01486165785564297,0.03178619474625481,0.02977168692358969
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,chronos_small_resid,0.016304823965106297,0.015900599061569175,0.03313790725550556,0.03224806008322957
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,knn,0.7432191571880653,0.7428123891747637,0.783851215314431,0.7838400697619231
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,lof,0.10522414611974756,0.10534068384003012,0.17300859895306947,0.17298686254220147
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,ae,0.7298049554212227,0.728294768222447,0.7872551752113859,0.7872532023802952
ucr,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100,iforest,0.10363489826076908,0.09908436276454116,0.1494896732777391,0.14948856369972985
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,timesfm_resid,0.0034721972996158692,0.003406458286617469,0.0036103294221719886,0.0031432920641135606
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,tirex_resid,0.0031141304829848406,0.0030535372553571524,0.002645098989898502,0.0022901766178276078
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,chronos_base_resid,0.0030158932405363707,0.002980324925212537,0.0028271948108813776,0.0025145016018279813
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,chronos_small_resid,0.002899385513713584,0.002867585021086585,0.0025802270084181586,0.00236011057971178
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,knn,0.031949161360520374,0.0318773062419359,0.028200534016397893,0.028201064701083935
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,lof,0.010935829634230385,0.010812514360995649,0.008299568744439247,0.008326449636873734
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308,ae,0.006162835366207757,0.006125607756854445,0.005754895307850023,0.005762767898920505
